open,high,low,close,volume,vwap,timestamp,transactions,otc
499.76,500.46,499.62,500.14,274546.0,498.503,1744217280000,1847,
500.2,500.84,500.2,500.84,122437.0,500.5981,1744217340000,1992,
500.85,501.68,500.81,501.6125,235865.0,501.2504,1744217400000,3458,
501.61,501.78,500.87,500.87,256985.0,498.9036,1744217460000,2112,
500.8,500.8,500.31,500.4601,156364.0,500.5366,1744217520000,2249,
500.32,500.97,499.96,500.8414,455135.0,498.2023,1744217580000,2216,
500.895,501.56,500.895,501.51,115869.0,501.2394,1744217640000,1788,
501.53,501.79,501.12,501.64,105442.0,501.4181,1744217700000,1695,
501.645,502.33,501.64,502.22,220646.0,501.9976,1744217760000,3083,
502.19,502.54,501.98,502.45,269924.0,499.5742,1744217820000,2135,
502.46,502.58,501.54,501.63,136959.0,502.0048,1744217880000,2114,
501.59,501.66,501.02,501.2,136727.0,501.6435,1744217940000,1439,
501.25,501.75,501.17,501.63,108809.0,501.4614,1744218000000,1758,
501.67,501.89,501.31,501.75,112590.0,501.6667,1744218060000,1735,
501.72,505.7099,501.715,504.6,1287589.0,503.7499,1744218120000,11595,
504.65,504.78,503.42,504.26,730835.0,504.0445,1744218180000,7052,
504.33,505.62,504.07,505.6,457619.0,505.0494,1744218240000,4922,
505.62,505.64,504.56,504.93,504517.0,502.8104,1744218300000,4025,
504.88,504.99,503.35,503.549,303752.0,504.0813,1744218360000,3943,
503.53,503.79,502.57,502.8,393095.0,503.1474,1744218420000,4735,
502.815,503.22,501.98,502.03,356355.0,500.4244,1744218480000,3064,
502.09,502.4,501.73,501.96,281688.0,502.0153,1744218540000,2485,
502.01,502.15,501.02,501.0699,264084.0,501.3498,1744218600000,3279,
501.05,501.81,501.0,501.14,262455.0,501.3894,1744218660000,2911,
501.17,501.99,501.145,501.84,205315.0,501.7289,1744218720000,2300,
501.86,502.31,501.4,501.89,207272.0,501.8887,1744218780000,2796,
501.74,502.41,501.12,502.41,128403.0,501.7209,1744218840000,2054,
502.45,502.58,501.83,502.26,234320.0,499.154,1744218900000,1818,
502.26,503.68,502.26,503.44,345270.0,503.145,1744218960000,4169,
503.4138,503.44,502.89,503.06,112859.0,503.1485,1744219020000,1886,
503.09,503.3,497.56,499.93,2363090.0,499.331,1744219080000,23635,
499.76,515.05,498.67,512.8,5250916.0,506.7755,1744219140000,57304,
512.42,522.29,507.3,519.85,3030132.0,514.1644,1744219200000,29487,
519.845,524.1,518.0,519.55,2660753.0,520.2934,1744219260000,22481,
519.5,521.48,513.63,521.45,2560365.0,515.9009,1744219320000,20251,
521.38,524.7,520.59,522.62,2760801.0,518.7473,1744219380000,21405,
522.64,524.8,521.8,523.52,2171993.0,518.3825,1744219440000,14398,
523.5,528.89,523.27,527.24,2049649.0,522.9266,1744219500000,20471,
527.24,530.27,527.14,530.27,1531499.0,528.665,1744219560000,14210,
530.28,533.4,530.225,531.79,1859884.0,532.3524,1744219620000,19851,
531.79,531.7951,524.94,525.16,2117758.0,528.2741,1744219680000,18702,
525.12,527.91,523.02,523.96,1988370.0,521.5395,1744219740000,20063,
524.02,525.62,522.95,525.51,1677647.0,522.1826,1744219800000,16481,
525.44,528.98,525.4324,528.98,1502504.0,524.6667,1744219860000,16277,
528.91,530.37,527.09,530.34,1333099.0,528.9249,1744219920000,15723,
530.35,530.4,528.32,530.25,1299938.0,526.4941,1744219980000,11637,
530.2,532.14,530.1,531.87,1177600.0,527.4346,1744220040000,11946,
531.8,536.5,531.68,535.1,1728229.0,528.8441,1744220100000,15779,
535.2,535.84,530.56,530.8091,1656143.0,532.8749,1744220160000,18047,
530.85,534.87,530.2,532.43,1629192.0,524.326,1744220220000,12805,
532.46,533.04,529.81,530.275,982589.0,531.2449,1744220280000,10578,
530.32,530.96,527.08,527.26,878941.0,529.2468,1744220340000,9845,
527.36,527.93,524.8,527.52,1236574.0,523.2721,1744220400000,13385,
527.455,529.31,527.18,528.44,793623.0,528.4099,1744220460000,9692,
528.41,528.79,526.42,528.03,893867.0,523.1844,1744220520000,8489,
527.98,528.59,525.77,525.975,582960.0,527.063,1744220580000,7739,
526.01,527.13,524.42,525.98,842216.0,525.6595,1744220640000,8563,
526.14,527.7,525.86,527.25,633991.0,526.8871,1744220700000,7862,
527.25,531.45,527.09,531.11,1279579.0,520.4457,1744220760000,10010,
531.21,531.45,528.79,529.7801,771512.0,524.5342,1744220820000,7928,
529.81,532.06,529.5,531.73,558966.0,531.091,1744220880000,7186,
531.9074,533.16,530.38,530.67,662913.0,524.9825,1744220940000,7279,
530.73,531.48,528.77,529.47,537442.0,529.9826,1744221000000,8062,
529.36,530.78,528.64,530.78,419429.0,529.7694,1744221060000,6621,
530.78,532.0399,529.79,529.91,665672.0,531.1226,1744221120000,7804,
529.89,530.65,528.87,529.48,627415.0,522.9308,1744221180000,6377,
529.535,531.28,528.12,531.27,804857.0,524.713,1744221240000,8150,
531.3,531.4,528.97,529.5601,568280.0,530.0,1744221300000,7137,
529.5,532.41,529.15,531.73,770884.0,525.5492,1744221360000,8214,
531.6801,534.15,531.66,534.15,798120.0,527.54,1744221420000,7815,
534.04,535.55,533.9,534.8,834928.0,528.9414,1744221480000,7596,
534.72,535.24,533.68,534.87,684987.0,534.394,1744221540000,8010,
534.925,537.98,534.92,535.85,1208513.0,532.4016,1744221600000,11721,
535.94,537.1,535.5,535.93,945486.0,531.0984,1744221660000,7632,
535.93,537.0,534.98,536.34,796436.0,535.9559,1744221720000,8099,
536.22,537.28,534.07,537.06,942174.0,535.927,1744221780000,9686,
537.16,537.88,535.55,535.94,759781.0,530.008,1744221840000,7063,
535.89,536.92,534.52,534.5598,670429.0,528.2066,1744221900000,6320,
534.54,536.01,534.11,534.11,468152.0,535.1068,1744221960000,6235,
534.18,534.7,532.72,532.72,571786.0,525.4741,1744222020000,6438,
532.77,532.78,531.11,531.93,643569.0,531.8777,1744222080000,8070,
532.03,534.32,531.35,533.935,492514.0,533.1871,1744222140000,6192,
533.91,534.5,532.89,534.37,457984.0,533.7219,1744222200000,6225,
534.33,535.96,534.24,535.22,616226.0,527.1786,1744222260000,6145,
535.28,536.5,535.24,535.9067,426999.0,535.988,1744222320000,5013,
535.93,536.51,534.54,534.55,355739.0,535.6282,1744222380000,4963,
534.6,535.3025,534.08,534.4801,302084.0,534.6508,1744222440000,4134,
534.54,534.9,533.05,533.36,380144.0,533.8654,1744222500000,5331,
533.4,535.03,533.28,534.9399,472013.0,524.3288,1744222560000,4769,
534.94,535.37,533.82,535.0,538806.0,534.7678,1744222620000,5731,
534.96,537.09,534.59,537.08,619816.0,535.7144,1744222680000,6608,
537.105,537.55,534.06,534.56,959416.0,530.6086,1744222740000,7378,
534.54,535.55,533.38,534.44,908883.0,523.6988,1744222800000,8624,
534.44,534.86,533.79,534.42,439101.0,534.2621,1744222860000,5098,
534.38,535.91,533.49,535.51,720805.0,527.8831,1744222920000,6282,
535.585,537.13,535.35,537.12,332682.0,536.318,1744222980000,4883,
537.15,537.91,536.8214,537.26,535538.0,537.4367,1744223040000,6476,
537.21,538.52,536.56,537.66,669626.0,530.0052,1744223100000,7078,
537.66,538.07,536.52,537.14,550684.0,527.9281,1744223160000,5463,
537.17,539.225,537.16,539.19,537063.0,538.3975,1744223220000,5795,
539.14,539.71,538.0,538.915,775647.0,531.8383,1744223280000,7125,
538.95,539.24,537.89,538.15,1160079.0,537.9935,1744223340000,5649,
538.16,539.75,537.86,538.98,729128.0,531.7403,1744223400000,7058,
