Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year,Daily_Return,Log_Return,Price_Range,Close_to_Open_Change,Average_Price,Lagged_Close,Lagged_Volume,Volume_MA5,Volume_Ratio,Lagged_Return,Rolling_Volatility,Day_of_Week,Week_of_Year,Close_to_High_Ratio,Next_Day_Volatility
1993-05-04,24.830126759039207,24.95244265440393,24.795179360363573,24.865074157714844,149100.0,4,1,18,5,1993,0.003527077686158897,0.0035208721350166684,0.15726329404035866,0.03494739867563723,24.87089872416078,24.777681350708008,80500.0,97800.0,1.5245398773006136,0.006387105245931002,0.0032330553345956228,1,18,-0.555555555555553,0.0018421151188948723
1993-05-05,24.86503801299044,25.02230107842748,24.86503801299044,24.934932708740234,109000.0,5,2,18,5,1993,0.0028095050343421857,0.0028055657516380533,0.15726306543703927,0.06989469574979523,24.940757266719384,24.865074157714844,149100.0,102420.0,1.0642452645967584,0.003527077686158897,0.0018421151188948723,2,18,-0.5555555555555556,0.003632177299869507
1993-05-06,24.900002922186875,24.91747660844806,24.83010817714214,24.84758186340332,54700.0,6,3,18,5,1993,-0.0035031514364702865,-0.0035093018395269946,0.08736843130591865,-0.05242105878355474,24.865055549664504,24.934932708740234,109000.0,96360.0,0.5676629306766293,0.0028095050343421857,0.003632177299869507,3,18,-0.8000000000000407,0.004115119167025944
1993-05-07,24.8650626880842,24.8650626880842,24.76022054041835,24.79516792297364,68000.0,7,4,18,5,1993,-0.00210941816060084,-0.0021116461167678194,0.10484214766585254,-0.06989476511056125,24.80681705049206,24.84758186340332,54700.0,92260.0,0.7370474745285064,-0.0035031514364702865,0.004115119167025944,4,18,-0.6666666666665989,0.0031588393066219753
1993-05-10,24.83010817714214,24.9873713534928,24.83010817714214,24.84758186340332,113900.0,10,0,19,5,1993,0.002113877211580295,0.002111646116767887,0.15726317635066067,0.017473686261180177,24.888353798012755,24.79516792297364,68000.0,98940.0,1.1512027491408934,-0.00210941816060084,0.0031588393066219753,0,19,-0.8888888888889165,0.003331589606935092
1993-05-11,24.84759427719757,24.952436447143555,24.777699497233584,24.952436447143555,42600.0,11,1,19,5,1993,0.004219910988387587,0.004211032133898787,0.17473694990997046,0.10484216994598583,24.894190797173565,24.84758186340332,113900.0,77640.0,0.5486862442040186,0.002113877211580295,0.003331589606935092,1,19,0.0,0.0031964034163020154
1993-05-12,24.84758571287693,24.93495415771827,24.84758571287693,24.91748046875,31000.0,12,2,19,5,1993,-0.001400904415390536,-0.001401886599385497,0.08736844484133854,0.0698947558730687,24.900006779781734,24.952436447143555,42600.0,62040.0,0.4996776273372018,0.004219910988387587,0.0031964034163020154,2,19,-0.2000000000000244,0.006209962105557827
1993-05-13,24.81263866654688,24.81263866654688,24.602954396125355,24.62042808532715,129100.0,13,3,19,5,1993,-0.01192144542043072,-0.01199307571114253,0.20968427042152626,-0.192210581219733,24.678673715999793,24.91748046875,31000.0,76920.0,1.6783671346853875,-0.001400904415390536,0.006209962105557827,3,19,-0.9166666666666695,0.006225164034151552
1993-05-14,24.620430462739684,24.69032522629608,24.585483080961488,24.602956771850582,63500.0,14,4,19,5,1993,-0.0007096267138823054,-0.0007098786180978568,0.10484214533459024,-0.017473690889101334,24.626255026369382,24.62042808532715,129100.0,76020.0,0.8353064982899236,-0.01192144542043072,0.006225164034151552,4,19,-0.8333333333333729,0.00646464716881266
1993-05-17,24.672854904747144,24.69032859802246,24.568012745095245,24.69032859802246,34000.0,17,0,20,5,1993,0.003551273409212463,0.003544982527161084,0.12231585292721547,0.017473693275317004,24.649556647046722,24.602956771850582,63500.0,60040.0,0.5662891405729513,-0.0007096267138823054,0.00646464716881266,0,20,0.0,0.005758951878757566
