Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-07-28,25.252449035644528,25.305241612025668,25.217253984723772,25.25244903564453,30800,28,2,30,7,1993
1993-07-29,25.30524660825564,25.463624368668924,25.27005155038602,25.393234252929688,331000,29,3,30,7,1993
1993-07-30,25.393229239327564,25.393229239327564,25.217253984723772,25.25244903564453,75300,30,4,30,7,1993
1993-08-02,25.287644685184567,25.41082736632325,25.287644685184567,25.322839736938477,41300,2,0,31,8,1993
1993-08-03,25.375635806719462,25.446025919914245,25.25245310862859,25.34044075012207,81600,3,1,31,8,1993
1993-08-04,25.34044075012207,25.393233335018156,25.270050636927287,25.34044075012207,434000,4,2,31,8,1993
1993-08-05,25.340432184971945,25.340432184971945,25.252444573218572,25.287639617919922,36800,5,3,31,8,1993
1993-08-06,25.358034788692386,25.37563231456934,25.287644685184567,25.322839736938477,402300,6,4,31,8,1993
1993-08-09,25.393234836865727,25.534015071581543,25.340442248847292,25.463624954223633,828200,9,0,32,8,1993
1993-08-10,25.446016311645508,25.46361383329948,25.41082126833756,25.446016311645508,604900,10,1,32,8,1993
1993-08-11,25.428418789991536,25.516406398261402,25.428418789991536,25.446016311645508,542200,11,2,32,8,1993
1993-08-12,25.516417287755115,25.516417287755115,25.287649408623516,25.37563705444336,303700,12,3,32,8,1993
1993-08-13,25.393245358876573,25.428440432139052,25.393245358876573,25.410842895507812,103500,13,4,32,8,1993
1993-08-16,25.428411165873207,25.621983846028645,25.428411165873207,25.551593780517578,241800,16,0,33,8,1993
1993-08-17,25.534021274145122,25.639606475830078,25.534021274145122,25.639606475830078,369300,17,1,33,8,1993
1993-08-18,25.72757624082598,25.833161369037306,25.709978719457425,25.78036880493164,414300,18,2,33,8,1993
1993-08-19,25.797966326300195,25.797966326300195,25.745173762194533,25.78036880493164,28500,19,3,33,8,1993
1993-08-20,25.72758352740237,25.7979736328125,25.709986001049838,25.7979736328125,80700,20,4,33,8,1993
1993-08-23,25.69238945627897,25.762779564378366,25.69238945627897,25.745182037353516,15600,23,0,34,8,1993
1993-08-24,25.74518815789213,26.026748657226562,25.74518815789213,26.026748657226562,273400,24,1,34,8,1993
1993-08-25,26.026746418669415,26.1499291265333,25.991551359279732,26.044343948364258,242300,25,2,34,8,1993
1993-08-26,26.061933517456055,26.202713712013548,25.956348371537935,26.061933517456055,120000,26,3,34,8,1993
1993-08-27,25.991551359279732,26.044343948364254,25.991551359279732,26.044343948364258,25700,27,4,34,8,1993
1993-08-30,26.06193189377098,26.18511455633438,26.06193189377098,26.149919509887695,183500,30,0,35,8,1993
1993-08-31,26.13232639491958,26.220314025878903,26.09713134253585,26.220314025878906,66500,31,1,35,8,1993
1993-09-01,26.132319434996575,26.237904564026866,26.132319434996575,26.18511199951172,136500,1,2,35,9,1993
1993-09-02,26.20271305771028,26.237908105470805,26.07953039054845,26.09712791442871,472400,2,3,35,9,1993
1993-09-03,26.07952244648072,26.149912520560292,26.044327409440935,26.114717483520508,630500,3,4,35,9,1993
1993-09-07,26.11472646643381,26.149921515579948,25.90355617155699,25.938751220703125,196400,7,1,36,9,1993
1993-09-08,25.938750942845665,25.938750942845665,25.674788077077224,25.85076332092285,269900,8,2,36,9,1993
1993-09-09,25.745167724464253,25.921142896880276,25.745167724464253,25.903545379638672,239200,9,3,36,9,1993
1993-09-10,25.973944600423174,26.149919834843388,25.938749553539132,26.132322311401367,106500,10,4,36,9,1993
1993-09-13,26.220309602781064,26.220309602781064,26.149919509887695,26.149919509887695,66900,13,0,37,9,1993
1993-09-14,26.079539007753937,26.079539007753937,25.956356299890054,26.044343948364258,184500,14,1,37,9,1993
1993-09-15,25.938742298321582,26.1323150020404,25.850754705722117,26.114717483520508,101000,15,2,37,9,1993
1993-09-16,26.079549234516726,26.097146771112218,25.991561551539274,26.009159088134766,54300,16,3,37,9,1993
1993-09-17,25.994125964696867,26.011833134972544,25.92329728359415,25.958711624145508,200900,17,4,37,9,1993
1993-09-20,25.994110333050465,26.04723181193272,25.746210098266605,25.7462100982666,57800,20,0,38,9,1993
1993-09-21,25.781638325124547,25.81705266348323,25.392080603178982,25.65768814086914,318200,21,1,38,9,1993
1993-09-22,25.74621852793814,25.905583016763067,25.71080419708816,25.870168685913086,439700,22,2,38,9,1993
1993-09-23,25.941000705352845,26.02953654393767,25.905586369918918,26.011829376220703,88500,23,3,38,9,1993
1993-09-24,25.976420049048933,25.994127220179845,25.905591364525282,25.94100570678711,53500,24,4,38,9,1993
1993-09-27,26.135783605685035,26.224319458007816,26.135783605685035,26.224319458007812,274600,27,0,39,9,1993
1993-09-28,26.24203804800733,26.24203804800733,26.153502157157103,26.17120933532715,158300,28,1,39,9,1993
1993-09-29,26.171202264023083,26.24203095756577,26.04725205032338,26.082666397094727,221000,29,2,39,9,1993
1993-09-30,26.08267590659005,26.135797446114676,25.976432827540805,26.02955436706543,99300,30,3,39,9,1993
1993-10-01,25.994129328124007,26.188908226359267,25.958714982990323,26.153493881225586,22700,1,4,39,10,1993
1993-10-04,26.18891143798828,26.18891143798828,26.118082739034964,26.18891143798828,1038500,4,0,40,10,1993
1993-10-05,26.242029744059792,26.242029744059792,26.064958018391373,26.153493881225586,436500,5,1,40,10,1993
1993-10-06,26.171188941169884,26.27743192739926,26.135774612426758,26.135774612426758,209200,6,2,40,10,1993
1993-10-07,26.171190119307976,26.171190119307976,26.04723996312722,26.0649471282959,59400,7,3,40,10,1993
1993-10-08,26.13578283964698,26.15349000959254,25.905589630354697,26.10036849975586,54400,8,4,40,10,1993
1993-10-11,26.153493881225582,26.20661539892611,26.153493881225582,26.153493881225586,467100,11,0,41,10,1993
1993-10-12,26.18891143798828,26.206618612726608,26.17120426324995,26.18891143798828,26200,12,1,41,10,1993
1993-10-13,26.206618612726608,26.206618612726608,26.15349708851162,26.18891143798828,139100,13,2,41,10,1993
1993-10-14,26.295142148301824,26.525335311889652,26.22431348258249,26.52533531188965,108100,14,3,41,10,1993
1993-10-15,26.649283115290707,26.720111774733343,26.578454455848075,26.666990280151367,1502500,15,4,41,10,1993
1993-10-18,26.64929002642473,26.64929002642473,26.56075417916086,26.596168518066406,722400,18,0,42,10,1993
1993-10-19,26.560750765579808,26.613872267110967,26.401386260986328,26.401386260986328,880100,19,1,42,10,1993
1993-10-20,26.489938704023725,26.489938704023725,26.38369563435518,26.436817169189453,230400,20,2,42,10,1993
1993-10-21,26.454507762517487,26.454507762517487,26.365971926632223,26.401386260986328,56200,21,3,42,10,1993
1993-10-22,26.436801721464914,26.543044729052852,26.277437210083008,26.277437210083008,390700,22,4,42,10,1993
1993-10-25,26.29514890332376,26.383684758217107,26.224320219409083,26.348270416259766,114500,25,0,43,10,1993
1993-10-26,26.33056640625,26.348273579354405,26.242030540727978,26.33056640625,186200,26,1,43,10,1993
1993-10-27,26.29514890332376,26.365977587238437,26.29514890332376,26.348270416259766,118400,27,2,43,10,1993
1993-10-28,26.383695697848044,26.613889016017186,26.383695697848044,26.543060302734375,129600,28,3,43,10,1993
1993-10-29,26.52535312441367,26.560767481055077,26.507645946092968,26.543060302734375,80700,29,4,43,10,1993
1993-11-01,26.507631423706542,26.631581604044513,26.507631423706542,26.613874435424805,36400,1,0,44,11,1993
1993-11-02,26.578461348613633,26.631582856971956,26.436803992991443,26.596168518066406,262100,2,1,44,11,1993
1993-11-03,26.578458400168135,26.578458400168135,26.135779212956805,26.259729385375977,479100,3,2,44,11,1993
1993-11-04,26.259718755190278,26.259718755190278,25.958697029743053,25.976404190063477,130400,4,3,44,11,1993
1993-11-05,25.905589630354697,26.10036849975586,25.799346610681333,26.10036849975586,363200,5,4,44,11,1993
1993-11-08,26.118067448055196,26.20660326991301,26.047238790568944,26.135774612426758,367600,8,0,45,11,1993
1993-11-09,26.31285843432716,26.330565606894,26.135786708658742,26.153493881225586,246900,9,1,45,11,1993
1993-11-10,26.153491535494407,26.34827041625977,26.08266285157973,26.348270416259766,46500,10,2,45,11,1993
1993-11-11,26.3482658818083,26.41909455353359,26.259730042151684,26.277437210083008,88900,11,3,45,11,1993
1993-11-12,26.330557592278115,26.489922096871595,26.31285042510106,26.401386260986328,108200,12,4,45,11,1993
1993-11-15,26.45451857803652,26.45451857803652,26.312861182705667,26.383689880371094,243300,15,0,46,11,1993
1993-11-16,26.43680262772656,26.525338470418212,26.330559616496583,26.507631301879883,492600,16,1,46,11,1993
1993-11-17,26.525344702603434,26.525344702603434,26.295151457520763,26.36598014831543,39600,17,2,46,11,1993
1993-11-18,26.33055746161978,26.383678962887338,26.224314459084663,26.295143127441406,240800,18,3,46,11,1993
1993-11-19,26.206633893423554,26.277462633676052,26.18892670836043,26.242048263549805,106000,19,4,46,11,1993
1993-11-22,26.171202264023083,26.188909437408757,25.994130530166366,26.082666397094727,165300,22,0,47,11,1993
1993-11-23,26.224319458007816,26.24202662847237,26.082662094291365,26.224319458007812,89700,23,1,47,11,1993
1993-11-24,26.29515206004119,26.348273579354405,26.25973771383238,26.33056640625,77200,24,2,47,11,1993
1993-11-26,26.401391929195775,26.401391929195775,26.3305632452811,26.348270416259766,1019800,26,4,47,11,1993
1993-11-29,26.419120114181045,26.472241669370415,26.242048263549805,26.242048263549805,517500,29,0,48,11,1993
1993-11-30,26.22431505039907,26.38367955779515,26.206607882910617,26.259729385375977,230000,30,1,48,11,1993
1993-12-01,26.401386129976526,26.41909329706571,26.29514312744141,26.295143127441406,379200,1,2,48,12,1993
1993-12-02,26.348272975616762,26.383687321014097,26.295151457520763,26.36598014831543,352000,2,3,48,12,1993
1993-12-03,26.348276869349654,26.472227096557617,26.348276869349654,26.472227096557617,306000,3,4,48,12,1993
1993-12-06,26.50763897705078,26.596174845377604,26.50763897705078,26.560760498046875,99500,6,0,49,12,1993
1993-12-07,26.560767481055077,26.57847465937578,26.507645946092968,26.543060302734375,88800,7,1,49,12,1993
1993-12-08,26.543060302734375,26.543060302734375,26.507645946092968,26.543060302734375,146700,8,2,49,12,1993
1993-12-09,26.543045577594395,26.578459914589185,26.419095398112635,26.454509735107422,416500,9,3,49,12,1993
1993-12-10,26.47221492969454,26.47221492969454,26.34826475945517,26.401386260986328,412900,10,4,49,12,1993
